content_id,account_id,case_id,normalized_text,content_hash,language,category,semantic_family,severity_score,safe_placeholder
CT-000528,A-0047,C-004,[migration invitation placeholder],H-4170535,de,Extremist Activity,EVASION_FAM_X3-P09,0.892,Yes
CT-000529,A-0043,C-004,[neutral platform activity],H-1125610,es,Extremist Activity,EVASION_FAM_X3-default,0.812,Yes
CT-000530,A-0040,C-004,[generic discussion],H-3535194,es,Extremist Activity,EVASION_FAM_X3-default,0.786,Yes
CT-000531,A-0042,C-004,[coordination instruction placeholder],H-7863818,de,Extremist Activity,EVASION_FAM_X3-P08,0.726,Yes
CT-000532,A-0046,C-004,[obfuscated phrase variant],H-9513918,ar,Extremist Activity,EVASION_FAM_X3-OBF,0.902,Yes
CT-000533,A-0047,C-004,[coordination instruction placeholder],H-7863818,de,Extremist Activity,EVASION_FAM_X3-P08,0.952,Yes
CT-000534,A-0045,C-004,[neutral platform activity],H-1125610,ar,Extremist Activity,EVASION_FAM_X3-default,0.65,Yes
CT-000535,A-0036,C-004,[non-sensitive coordination],H-0150340,de,Extremist Activity,EVASION_FAM_X3-default,0.709,Yes
CT-000536,A-0046,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.881,Yes
CT-000537,A-0037,C-004,[non-sensitive coordination],H-0150340,en,Extremist Activity,EVASION_FAM_X3-default,0.746,Yes
CT-000538,A-0038,C-004,[coded phrase family C],H-2688866,ar,Extremist Activity,EVASION_FAM_X3,0.955,Yes
CT-000539,A-0036,C-004,[research handoff placeholder],H-9835021,de,Extremist Activity,EVASION_FAM_X3-P08,0.787,Yes
CT-000540,A-0040,C-004,[template family A],H-8456337,es,Extremist Activity,EVASION_FAM_X3,0.683,Yes
CT-000541,A-0046,C-004,[research handoff placeholder],H-9835021,ar,Extremist Activity,EVASION_FAM_X3-P08,0.68,Yes
CT-000542,A-0037,C-004,[obfuscated phrase variant],H-9513918,en,Extremist Activity,EVASION_FAM_X3-OBF,0.657,Yes
CT-000543,A-0042,C-004,[coordination instruction placeholder],H-7863818,de,Extremist Activity,EVASION_FAM_X3-P08,0.609,Yes
CT-000544,A-0039,C-004,[migration invitation placeholder],H-4170535,ar,Extremist Activity,EVASION_FAM_X3-P09,0.751,Yes
CT-000545,A-0037,C-004,[non-sensitive coordination],H-0150340,en,Extremist Activity,EVASION_FAM_X3-default,0.727,Yes
CT-000546,A-0040,C-004,[migration invitation placeholder],H-4170535,es,Extremist Activity,EVASION_FAM_X3-P09,0.642,Yes
CT-000547,A-0041,C-004,[generic discussion],H-3535194,en,Extremist Activity,EVASION_FAM_X3-default,0.782,Yes
CT-000548,A-0046,C-004,[template family A],H-8456337,ar,Extremist Activity,EVASION_FAM_X3,0.891,Yes
CT-000549,A-0040,C-004,[symbol-substituted phrase],H-7857967,es,Extremist Activity,EVASION_FAM_X3-OBF,0.908,Yes
CT-000550,A-0044,C-004,[template family B with minor variation],H-7681805,ar,Extremist Activity,EVASION_FAM_X3,0.671,Yes
CT-000551,A-0040,C-004,[symbol-substituted phrase],H-7857967,es,Extremist Activity,EVASION_FAM_X3-OBF,0.671,Yes
CT-000552,A-0037,C-004,[research handoff placeholder],H-9835021,en,Extremist Activity,EVASION_FAM_X3-P08,0.831,Yes
CT-000553,A-0047,C-004,[obfuscated phrase variant],H-9513918,de,Extremist Activity,EVASION_FAM_X3-OBF,0.777,Yes
CT-000554,A-0039,C-004,[non-sensitive coordination],H-0150340,ar,Extremist Activity,EVASION_FAM_X3-default,0.804,Yes
CT-000555,A-0036,C-004,[coded phrase family C],H-2688866,de,Extremist Activity,EVASION_FAM_X3,0.913,Yes
CT-000556,A-0047,C-004,[amplification request placeholder],H-1177423,de,Extremist Activity,EVASION_FAM_X3-P08,0.825,Yes
CT-000557,A-0047,C-004,[template family B with minor variation],H-7681805,de,Extremist Activity,EVASION_FAM_X3,0.808,Yes
CT-000558,A-0038,C-004,[obfuscated phrase variant],H-9513918,ar,Extremist Activity,EVASION_FAM_X3-OBF,0.695,Yes
CT-000559,A-0041,C-004,[generic discussion],H-3535194,en,Extremist Activity,EVASION_FAM_X3-default,0.675,Yes
CT-000560,A-0037,C-004,[neutral platform activity],H-1125610,en,Extremist Activity,EVASION_FAM_X3-default,0.675,Yes
CT-000561,A-0044,C-004,[migration invitation placeholder],H-4170535,ar,Extremist Activity,EVASION_FAM_X3-P09,0.625,Yes
CT-000562,A-0044,C-004,[coordination instruction placeholder],H-7863818,ar,Extremist Activity,EVASION_FAM_X3-P08,0.822,Yes
CT-000563,A-0044,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.659,Yes
CT-000564,A-0041,C-004,[generic discussion],H-3535194,en,Extremist Activity,EVASION_FAM_X3-default,0.801,Yes
CT-000565,A-0036,C-004,[coordination instruction placeholder],H-7863818,de,Extremist Activity,EVASION_FAM_X3-P08,0.62,Yes
CT-000566,A-0046,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.864,Yes
CT-000567,A-0041,C-004,[external-channel handoff placeholder],H-1135628,en,Extremist Activity,EVASION_FAM_X3-P09,0.744,Yes
CT-000568,A-0037,C-004,[neutral platform activity],H-1125610,en,Extremist Activity,EVASION_FAM_X3-default,0.658,Yes
CT-000569,A-0046,C-004,[research handoff placeholder],H-9835021,ar,Extremist Activity,EVASION_FAM_X3-P08,0.879,Yes
CT-000570,A-0043,C-004,[generic discussion],H-3535194,es,Extremist Activity,EVASION_FAM_X3-default,0.819,Yes
CT-000571,A-0038,C-004,[non-sensitive coordination],H-0150340,ar,Extremist Activity,EVASION_FAM_X3-default,0.815,Yes
CT-000572,A-0038,C-004,[coded phrase family C],H-2688866,ar,Extremist Activity,EVASION_FAM_X3,0.949,Yes
CT-000573,A-0040,C-004,[generic discussion],H-3535194,es,Extremist Activity,EVASION_FAM_X3-default,0.884,Yes
CT-000574,A-0044,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.63,Yes
CT-000575,A-0044,C-004,[non-sensitive coordination],H-0150340,ar,Extremist Activity,EVASION_FAM_X3-default,0.881,Yes
CT-000576,A-0046,C-004,[external-channel handoff placeholder],H-1135628,ar,Extremist Activity,EVASION_FAM_X3-P09,0.821,Yes
CT-000577,A-0040,C-004,[template family B with minor variation],H-7681805,es,Extremist Activity,EVASION_FAM_X3,0.611,Yes
CT-000578,A-0047,C-004,[obfuscated phrase variant],H-9513918,de,Extremist Activity,EVASION_FAM_X3-OBF,0.887,Yes
CT-000579,A-0036,C-004,[generic discussion],H-3535194,de,Extremist Activity,EVASION_FAM_X3-default,0.762,Yes
CT-000580,A-0042,C-004,[non-sensitive coordination],H-0150340,de,Extremist Activity,EVASION_FAM_X3-default,0.768,Yes
CT-000581,A-0042,C-004,[neutral platform activity],H-1125610,de,Extremist Activity,EVASION_FAM_X3-default,0.867,Yes
CT-000582,A-0038,C-004,[non-sensitive coordination],H-0150340,ar,Extremist Activity,EVASION_FAM_X3-default,0.762,Yes
CT-000583,A-0047,C-004,[external-channel handoff placeholder],H-1135628,de,Extremist Activity,EVASION_FAM_X3-P09,0.664,Yes
CT-000584,A-0040,C-004,[external-channel handoff placeholder],H-1135628,es,Extremist Activity,EVASION_FAM_X3-P09,0.892,Yes
CT-000585,A-0045,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.755,Yes
CT-000586,A-0040,C-004,[symbol-substituted phrase],H-7857967,es,Extremist Activity,EVASION_FAM_X3-OBF,0.793,Yes
CT-000587,A-0037,C-004,[external-channel handoff placeholder],H-1135628,en,Extremist Activity,EVASION_FAM_X3-P09,0.85,Yes
CT-000588,A-0044,C-004,[external-channel handoff placeholder],H-1135628,ar,Extremist Activity,EVASION_FAM_X3-P09,0.924,Yes
CT-000589,A-0043,C-004,[coded phrase family C],H-2688866,es,Extremist Activity,EVASION_FAM_X3,0.645,Yes
CT-000590,A-0038,C-004,[coded phrase family C],H-2688866,ar,Extremist Activity,EVASION_FAM_X3,0.697,Yes
CT-000591,A-0046,C-004,[amplification request placeholder],H-1177423,ar,Extremist Activity,EVASION_FAM_X3-P08,0.867,Yes
CT-000592,A-0045,C-004,[research handoff placeholder],H-9835021,ar,Extremist Activity,EVASION_FAM_X3-P08,0.953,Yes
CT-000593,A-0040,C-004,[neutral platform activity],H-1125610,es,Extremist Activity,EVASION_FAM_X3-default,0.759,Yes
CT-000594,A-0039,C-004,[non-sensitive coordination],H-0150340,ar,Extremist Activity,EVASION_FAM_X3-default,0.724,Yes
CT-000595,A-0036,C-004,[amplification request placeholder],H-1177423,de,Extremist Activity,EVASION_FAM_X3-P08,0.641,Yes
CT-000596,A-0036,C-004,[neutral platform activity],H-1125610,de,Extremist Activity,EVASION_FAM_X3-default,0.73,Yes
CT-000597,A-0044,C-004,[neutral platform activity],H-1125610,ar,Extremist Activity,EVASION_FAM_X3-default,0.618,Yes
CT-000598,A-0045,C-004,[neutral platform activity],H-1125610,ar,Extremist Activity,EVASION_FAM_X3-default,0.826,Yes
CT-000599,A-0046,C-004,[migration invitation placeholder],H-4170535,ar,Extremist Activity,EVASION_FAM_X3-P09,0.819,Yes
CT-000600,A-0043,C-004,[external-channel handoff placeholder],H-1135628,es,Extremist Activity,EVASION_FAM_X3-P09,0.611,Yes
CT-000601,A-0041,C-004,[external-channel handoff placeholder],H-1135628,en,Extremist Activity,EVASION_FAM_X3-P09,0.677,Yes
CT-000602,A-0038,C-004,[migration invitation placeholder],H-4170535,ar,Extremist Activity,EVASION_FAM_X3-P09,0.831,Yes
CT-000603,A-0045,C-004,[symbol-substituted phrase],H-7857967,ar,Extremist Activity,EVASION_FAM_X3-OBF,0.888,Yes
CT-000604,A-0038,C-004,[amplification request placeholder],H-1177423,ar,Extremist Activity,EVASION_FAM_X3-P08,0.919,Yes
CT-000605,A-0043,C-004,[migration invitation placeholder],H-4170535,es,Extremist Activity,EVASION_FAM_X3-P09,0.905,Yes
CT-000606,A-0040,C-004,[external-channel handoff placeholder],H-1135628,es,Extremist Activity,EVASION_FAM_X3-P09,0.8,Yes
CT-000607,A-0044,C-004,[neutral platform activity],H-1125610,ar,Extremist Activity,EVASION_FAM_X3-default,0.934,Yes
CT-000608,A-0044,C-004,[template family A],H-8456337,ar,Extremist Activity,EVASION_FAM_X3,0.95,Yes
CT-000609,A-0047,C-004,[coded phrase family C],H-2688866,de,Extremist Activity,EVASION_FAM_X3,0.848,Yes
CT-000610,A-0041,C-004,[obfuscated phrase variant],H-9513918,en,Extremist Activity,EVASION_FAM_X3-OBF,0.949,Yes
CT-000611,A-0036,C-004,[neutral platform activity],H-1125610,de,Extremist Activity,EVASION_FAM_X3-default,0.779,Yes
CT-000612,A-0038,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.906,Yes
CT-000613,A-0039,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.608,Yes
CT-000614,A-0047,C-004,[migration invitation placeholder],H-4170535,de,Extremist Activity,EVASION_FAM_X3-P09,0.871,Yes
CT-000615,A-0040,C-004,[coded phrase family C],H-2688866,es,Extremist Activity,EVASION_FAM_X3,0.786,Yes
CT-000616,A-0043,C-004,[neutral platform activity],H-1125610,es,Extremist Activity,EVASION_FAM_X3-default,0.65,Yes
CT-000617,A-0044,C-004,[neutral platform activity],H-1125610,ar,Extremist Activity,EVASION_FAM_X3-default,0.864,Yes
CT-000618,A-0037,C-004,[neutral platform activity],H-1125610,en,Extremist Activity,EVASION_FAM_X3-default,0.776,Yes
CT-000619,A-0037,C-004,[coordination instruction placeholder],H-7863818,en,Extremist Activity,EVASION_FAM_X3-P08,0.724,Yes
CT-000620,A-0036,C-004,[migration invitation placeholder],H-4170535,de,Extremist Activity,EVASION_FAM_X3-P09,0.645,Yes
CT-000621,A-0040,C-004,[symbol-substituted phrase],H-7857967,es,Extremist Activity,EVASION_FAM_X3-OBF,0.718,Yes
CT-000622,A-0037,C-004,[symbol-substituted phrase],H-7857967,en,Extremist Activity,EVASION_FAM_X3-OBF,0.746,Yes
CT-000623,A-0043,C-004,[external-channel handoff placeholder],H-1135628,es,Extremist Activity,EVASION_FAM_X3-P09,0.648,Yes
CT-000624,A-0045,C-004,[migration invitation placeholder],H-4170535,ar,Extremist Activity,EVASION_FAM_X3-P09,0.917,Yes
CT-000625,A-0040,C-004,[symbol-substituted phrase],H-7857967,es,Extremist Activity,EVASION_FAM_X3-OBF,0.821,Yes
CT-000626,A-0044,C-004,[amplification request placeholder],H-1177423,ar,Extremist Activity,EVASION_FAM_X3-P08,0.923,Yes
CT-000627,A-0038,C-004,[template family B with minor variation],H-7681805,ar,Extremist Activity,EVASION_FAM_X3,0.836,Yes
CT-000628,A-0043,C-004,[template family A],H-8456337,es,Extremist Activity,EVASION_FAM_X3,0.855,Yes
CT-000629,A-0043,C-004,[non-sensitive coordination],H-0150340,es,Extremist Activity,EVASION_FAM_X3-default,0.618,Yes
CT-000630,A-0041,C-004,[external-channel handoff placeholder],H-1135628,en,Extremist Activity,EVASION_FAM_X3-P09,0.862,Yes
CT-000631,A-0045,C-004,[neutral platform activity],H-1125610,ar,Extremist Activity,EVASION_FAM_X3-default,0.755,Yes
CT-000632,A-0040,C-004,[coded phrase family C],H-2688866,es,Extremist Activity,EVASION_FAM_X3,0.796,Yes
CT-000633,A-0044,C-004,[multilingual coded variant],H-0362584,ar,Extremist Activity,EVASION_FAM_X3-OBF,0.74,Yes
CT-000634,A-0042,C-004,[obfuscated phrase variant],H-9513918,de,Extremist Activity,EVASION_FAM_X3-OBF,0.645,Yes
CT-000635,A-0047,C-004,[template family A],H-8456337,de,Extremist Activity,EVASION_FAM_X3,0.63,Yes
CT-000636,A-0046,C-004,[coded phrase family C],H-2688866,ar,Extremist Activity,EVASION_FAM_X3,0.68,Yes
CT-000637,A-0039,C-004,[obfuscated phrase variant],H-9513918,ar,Extremist Activity,EVASION_FAM_X3-OBF,0.884,Yes
CT-000638,A-0036,C-004,[template family B with minor variation],H-7681805,de,Extremist Activity,EVASION_FAM_X3,0.763,Yes
CT-000639,A-0045,C-004,[obfuscated phrase variant],H-9513918,ar,Extremist Activity,EVASION_FAM_X3-OBF,0.722,Yes
CT-000640,A-0042,C-004,[external-channel handoff placeholder],H-1135628,de,Extremist Activity,EVASION_FAM_X3-P09,0.64,Yes
CT-000641,A-0040,C-004,[template family B with minor variation],H-7681805,es,Extremist Activity,EVASION_FAM_X3,0.784,Yes
CT-000642,A-0040,C-004,[obfuscated phrase variant],H-9513918,es,Extremist Activity,EVASION_FAM_X3-OBF,0.885,Yes
CT-000643,A-0041,C-004,[coordination instruction placeholder],H-7863818,en,Extremist Activity,EVASION_FAM_X3-P08,0.799,Yes
CT-000644,A-0040,C-004,[migration invitation placeholder],H-4170535,es,Extremist Activity,EVASION_FAM_X3-P09,0.78,Yes
CT-000645,A-0043,C-004,[research handoff placeholder],H-9835021,es,Extremist Activity,EVASION_FAM_X3-P08,0.832,Yes
CT-000646,A-0038,C-004,[external-channel handoff placeholder],H-1135628,ar,Extremist Activity,EVASION_FAM_X3-P09,0.694,Yes
CT-000647,A-0040,C-004,[coded phrase family C],H-2688866,es,Extremist Activity,EVASION_FAM_X3,0.604,Yes
CT-000648,A-0043,C-004,[non-sensitive coordination],H-0150340,es,Extremist Activity,EVASION_FAM_X3-default,0.787,Yes
CT-000649,A-0042,C-004,[generic discussion],H-3535194,de,Extremist Activity,EVASION_FAM_X3-default,0.681,Yes
CT-000650,A-0043,C-004,[multilingual coded variant],H-0362584,es,Extremist Activity,EVASION_FAM_X3-OBF,0.616,Yes
CT-000651,A-0046,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.89,Yes
CT-000652,A-0039,C-004,[neutral platform activity],H-1125610,ar,Extremist Activity,EVASION_FAM_X3-default,0.676,Yes
CT-000653,A-0041,C-004,[research handoff placeholder],H-9835021,en,Extremist Activity,EVASION_FAM_X3-P08,0.852,Yes
CT-000654,A-0037,C-004,[neutral platform activity],H-1125610,en,Extremist Activity,EVASION_FAM_X3-default,0.651,Yes
CT-000655,A-0044,C-004,[non-sensitive coordination],H-0150340,ar,Extremist Activity,EVASION_FAM_X3-default,0.699,Yes
CT-000656,A-0041,C-004,[coded phrase family C],H-2688866,en,Extremist Activity,EVASION_FAM_X3,0.602,Yes
CT-000657,A-0047,C-004,[research handoff placeholder],H-9835021,de,Extremist Activity,EVASION_FAM_X3-P08,0.855,Yes
CT-000658,A-0046,C-004,[template family B with minor variation],H-7681805,ar,Extremist Activity,EVASION_FAM_X3,0.74,Yes
CT-000659,A-0039,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.876,Yes
CT-000660,A-0037,C-004,[symbol-substituted phrase],H-7857967,en,Extremist Activity,EVASION_FAM_X3-OBF,0.687,Yes
CT-000661,A-0041,C-004,[multilingual coded variant],H-0362584,en,Extremist Activity,EVASION_FAM_X3-OBF,0.862,Yes
CT-000662,A-0039,C-004,[obfuscated phrase variant],H-9513918,ar,Extremist Activity,EVASION_FAM_X3-OBF,0.615,Yes
CT-000663,A-0043,C-004,[external-channel handoff placeholder],H-1135628,es,Extremist Activity,EVASION_FAM_X3-P09,0.643,Yes
CT-000664,A-0044,C-004,[migration invitation placeholder],H-4170535,ar,Extremist Activity,EVASION_FAM_X3-P09,0.666,Yes
CT-000665,A-0038,C-004,[amplification request placeholder],H-1177423,ar,Extremist Activity,EVASION_FAM_X3-P08,0.808,Yes
CT-000666,A-0044,C-004,[template family B with minor variation],H-7681805,ar,Extremist Activity,EVASION_FAM_X3,0.828,Yes
CT-000667,A-0038,C-004,[migration invitation placeholder],H-4170535,ar,Extremist Activity,EVASION_FAM_X3-P09,0.794,Yes
CT-000668,A-0041,C-004,[amplification request placeholder],H-1177423,en,Extremist Activity,EVASION_FAM_X3-P08,0.895,Yes
CT-000669,A-0042,C-004,[generic discussion],H-3535194,de,Extremist Activity,EVASION_FAM_X3-default,0.643,Yes
CT-000670,A-0036,C-004,[non-sensitive coordination],H-0150340,de,Extremist Activity,EVASION_FAM_X3-default,0.621,Yes
CT-000671,A-0042,C-004,[template family B with minor variation],H-7681805,de,Extremist Activity,EVASION_FAM_X3,0.8,Yes
CT-000672,A-0041,C-004,[coded phrase family C],H-2688866,en,Extremist Activity,EVASION_FAM_X3,0.687,Yes
CT-000673,A-0044,C-004,[coded phrase family C],H-2688866,ar,Extremist Activity,EVASION_FAM_X3,0.825,Yes
CT-000674,A-0044,C-004,[coordination instruction placeholder],H-7863818,ar,Extremist Activity,EVASION_FAM_X3-P08,0.827,Yes
CT-000675,A-0044,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.765,Yes
CT-000676,A-0040,C-004,[neutral platform activity],H-1125610,es,Extremist Activity,EVASION_FAM_X3-default,0.903,Yes
CT-000677,A-0042,C-004,[symbol-substituted phrase],H-7857967,de,Extremist Activity,EVASION_FAM_X3-OBF,0.639,Yes
CT-000678,A-0039,C-004,[generic discussion],H-3535194,ar,Extremist Activity,EVASION_FAM_X3-default,0.954,Yes
CT-000679,A-0046,C-004,[coordination instruction placeholder],H-7863818,ar,Extremist Activity,EVASION_FAM_X3-P08,0.875,Yes
CT-000680,A-0036,C-004,[coordination instruction placeholder],H-7863818,de,Extremist Activity,EVASION_FAM_X3-P08,0.65,Yes
CT-000681,A-0036,C-004,[multilingual coded variant],H-0362584,de,Extremist Activity,EVASION_FAM_X3-OBF,0.698,Yes
CT-000682,A-0047,C-004,[migration invitation placeholder],H-4170535,de,Extremist Activity,EVASION_FAM_X3-P09,0.947,Yes
CT-000683,A-0039,C-004,[coordination instruction placeholder],H-7863818,ar,Extremist Activity,EVASION_FAM_X3-P08,0.892,Yes
CT-000684,A-0037,C-004,[template family B with minor variation],H-7681805,en,Extremist Activity,EVASION_FAM_X3,0.905,Yes
CT-000685,A-0042,C-004,[coordination instruction placeholder],H-7863818,de,Extremist Activity,EVASION_FAM_X3-P08,0.914,Yes
CT-000686,A-0047,C-004,[generic discussion],H-3535194,de,Extremist Activity,EVASION_FAM_X3-default,0.848,Yes
CT-000687,A-0071,C-005,[time-linked escalation reference],H-8030662,en,Violent Threat,EVENT_FAM_X4-P07,0.653,Yes
CT-000688,A-0062,C-005,[neutral platform activity],H-9043347,en,Violent Threat,EVENT_FAM_X4-P02,0.454,Yes
CT-000689,A-0067,C-005,[ambiguous grievance],H-8254673,en,Violent Threat,EVENT_FAM_X4-P07,0.681,Yes
CT-000690,A-0059,C-005,[generic discussion],H-1420299,es,Violent Threat,EVENT_FAM_X4-default,0.43,Yes
CT-000691,A-0059,C-005,[fictional location proximity reference],H-6042605,es,Violent Threat,EVENT_FAM_X4-P11,0.406,Yes
CT-000692,A-0059,C-005,[continued focus on same fictional target],H-1594813,es,Violent Threat,EVENT_FAM_X4-P03,0.619,Yes
CT-000693,A-0056,C-005,[neutral platform activity],H-4318580,en,Violent Threat,EVENT_FAM_X4-default,0.649,Yes
CT-000694,A-0070,C-005,[lawful event logistics],H-0703371,es,Violent Threat,BENIGN-COORDINATION,0.225,Yes
CT-000695,A-0065,C-005,[event date reference],H-2785787,en,Violent Threat,EVENT_FAM_X4-P11,0.709,Yes
CT-000696,A-0050,C-005,[target-specific grievance reference],H-0692299,en,Violent Threat,EVENT_FAM_X4-P03,0.658,Yes
CT-000697,A-0055,C-005,[benign scheduling message],H-3629325,es,Violent Threat,BENIGN-COORDINATION,0.278,Yes
CT-000698,A-0054,C-005,[non-sensitive coordination],H-8068077,en,Violent Threat,EVENT_FAM_X4-P02,0.721,Yes
CT-000699,A-0051,C-005,[generic discussion],H-1420299,en,Violent Threat,EVENT_FAM_X4-default,0.491,Yes
CT-000700,A-0068,C-005,[fictional location proximity reference],H-6042605,en,Violent Threat,EVENT_FAM_X4-P11,0.48,Yes
CT-000701,A-0063,C-005,[mutual-aid coordination],H-5150997,es,Violent Threat,BENIGN-COORDINATION,0.249,Yes
CT-000702,A-0055,C-005,[neutral platform activity],H-4318580,es,Violent Threat,EVENT_FAM_X4-default,0.661,Yes
CT-000703,A-0071,C-005,[generic discussion],H-8547069,en,Violent Threat,EVENT_FAM_X4-P02,0.42,Yes
CT-000704,A-0055,C-005,[fictional location proximity reference],H-6042605,es,Violent Threat,EVENT_FAM_X4-P11,0.721,Yes
CT-000705,A-0056,C-005,[target-specific grievance reference],H-0692299,en,Violent Threat,EVENT_FAM_X4-P03,0.721,Yes
CT-000706,A-0065,C-005,[time-linked escalation reference],H-8030662,en,Violent Threat,EVENT_FAM_X4-P07,0.736,Yes
CT-000707,A-0062,C-005,[repeated target reference],H-9980995,en,Violent Threat,EVENT_FAM_X4-P03,0.724,Yes
CT-000708,A-0057,C-005,[fictional location proximity reference],H-6042605,es,Violent Threat,EVENT_FAM_X4-P11,0.451,Yes
CT-000709,A-0060,C-005,[fictional location proximity reference],H-6042605,es,Violent Threat,EVENT_FAM_X4-P11,0.589,Yes
CT-000710,A-0049,C-005,[generic discussion],H-1420299,en,Violent Threat,EVENT_FAM_X4-default,0.487,Yes
CT-000711,A-0066,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.554,Yes
CT-000712,A-0062,C-005,[continued focus on same fictional target],H-1594813,en,Violent Threat,EVENT_FAM_X4-P03,0.595,Yes
CT-000713,A-0066,C-005,[fictional location proximity reference],H-6042605,en,Violent Threat,EVENT_FAM_X4-P11,0.414,Yes
CT-000714,A-0065,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.67,Yes
CT-000715,A-0065,C-005,[neutral platform activity],H-4318580,en,Violent Threat,EVENT_FAM_X4-default,0.736,Yes
CT-000716,A-0063,C-005,[repeated target reference],H-9980995,es,Violent Threat,EVENT_FAM_X4-P03,0.497,Yes
CT-000717,A-0055,C-005,[generic discussion],H-1420299,es,Violent Threat,EVENT_FAM_X4-default,0.464,Yes
CT-000718,A-0066,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.736,Yes
CT-000719,A-0067,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.686,Yes
CT-000720,A-0048,C-005,[non-sensitive coordination],H-8068077,en,Violent Threat,EVENT_FAM_X4-P02,0.59,Yes
CT-000721,A-0070,C-005,[non-sensitive coordination],H-5293850,es,Violent Threat,EVENT_FAM_X4-default,0.662,Yes
CT-000722,A-0063,C-005,[repeated target reference],H-9980995,es,Violent Threat,EVENT_FAM_X4-P03,0.675,Yes
CT-000723,A-0065,C-005,[mutual-aid coordination],H-5150997,en,Violent Threat,BENIGN-COORDINATION,0.374,Yes
CT-000724,A-0053,C-005,[continued focus on same fictional target],H-1594813,es,Violent Threat,EVENT_FAM_X4-P03,0.566,Yes
CT-000725,A-0058,C-005,[neutral platform activity],H-4318580,es,Violent Threat,EVENT_FAM_X4-default,0.758,Yes
CT-000726,A-0053,C-005,[neutral platform activity],H-4318580,es,Violent Threat,EVENT_FAM_X4-default,0.405,Yes
CT-000727,A-0050,C-005,[generic discussion],H-1420299,en,Violent Threat,EVENT_FAM_X4-default,0.543,Yes
CT-000728,A-0067,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.441,Yes
CT-000729,A-0071,C-005,[benign scheduling message],H-3629325,en,Violent Threat,BENIGN-COORDINATION,0.225,Yes
CT-000730,A-0057,C-005,[more specific intent reference],H-2413680,es,Violent Threat,EVENT_FAM_X4-P07,0.762,Yes
CT-000731,A-0067,C-005,[neutral platform activity],H-4318580,en,Violent Threat,EVENT_FAM_X4-default,0.471,Yes
CT-000732,A-0048,C-005,[neutral platform activity],H-4318580,en,Violent Threat,EVENT_FAM_X4-default,0.617,Yes
CT-000733,A-0063,C-005,[neutral platform activity],H-4318580,es,Violent Threat,EVENT_FAM_X4-default,0.709,Yes
CT-000734,A-0069,C-005,[neutral platform activity],H-4318580,en,Violent Threat,EVENT_FAM_X4-default,0.759,Yes
CT-000735,A-0062,C-005,[target-specific grievance reference],H-0692299,en,Violent Threat,EVENT_FAM_X4-P03,0.588,Yes
CT-000736,A-0055,C-005,[generic discussion],H-8547069,es,Violent Threat,EVENT_FAM_X4-P02,0.57,Yes
CT-000737,A-0066,C-005,[more specific intent reference],H-2413680,en,Violent Threat,EVENT_FAM_X4-P07,0.568,Yes
CT-000738,A-0050,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.43,Yes
CT-000739,A-0057,C-005,[benign scheduling message],H-3629325,es,Violent Threat,BENIGN-COORDINATION,0.261,Yes
CT-000740,A-0060,C-005,[target-specific grievance reference],H-0692299,es,Violent Threat,EVENT_FAM_X4-P03,0.504,Yes
CT-000741,A-0056,C-005,[event date reference],H-2785787,en,Violent Threat,EVENT_FAM_X4-P11,0.641,Yes
CT-000742,A-0067,C-005,[lawful event logistics],H-0703371,en,Violent Threat,BENIGN-COORDINATION,0.277,Yes
CT-000743,A-0068,C-005,[target-specific grievance reference],H-0692299,en,Violent Threat,EVENT_FAM_X4-P03,0.439,Yes
CT-000744,A-0048,C-005,[continued focus on same fictional target],H-1594813,en,Violent Threat,EVENT_FAM_X4-P03,0.554,Yes
CT-000745,A-0051,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.59,Yes
CT-000746,A-0056,C-005,[non-sensitive coordination],H-5293850,en,Violent Threat,EVENT_FAM_X4-default,0.56,Yes
CT-000747,A-0057,C-005,[neutral platform activity],H-4318580,es,Violent Threat,EVENT_FAM_X4-default,0.649,Yes
